teacherID,name,years_of_experience,facultytype,age,highest_qualification,department_name,years_at_IBA,research_area_name
51.0,Renee Peck,25,Full-Time,30.0,Masters,Biology,22.0,Cloned 5thgeneration project
52.0,Amy Coleman,16,Full-Time,47.0,PhD,Finance,14.0,Versatile full-range knowledge user
53.0,Luke Smith,9,Full-Time,59.0,PhD,Mathematics,9.0,Versatile full-range knowledge user
54.0,Lindsey Bond,19,Full-Time,44.0,Masters,Physics,11.0,Compatible empowering knowledgebase
55.0,Lauren Ross,16,Full-Time,30.0,Masters,Business Administration,12.0,Profound contextually-based service-desk
56.0,Stanley Navarro,16,Full-Time,44.0,PhD,Economics,11.0,Customizable 5thgeneration leverage
57.0,Melissa Jones,10,Visiting,46.0,PhD,Finance,8.0,Multi-layered radical middleware
58.0,Kelly Vasquez,22,Full-Time,55.0,Masters,Biology,19.0,Customizable 5thgeneration leverage
59.0,Tyler Dickson,15,Visiting,55.0,PhD,Economics,15.0,Persevering encompassing array
60.0,Laura Strickland,19,Full-Time,31.0,Masters,Biology,7.0,Multi-layered radical middleware
61.0,Bryan Garrison,21,Visiting,44.0,Masters,Finance,7.0,Customizable 5thgeneration leverage
62.0,Christina Bennett,28,Full-Time,52.0,PhD,Economics,21.0,Persevering encompassing array
63.0,William Davis,9,Visiting,59.0,PhD,Economics,7.0,Profound contextually-based service-desk
64.0,James Sanchez,21,Full-Time,33.0,PhD,Finance,11.0,Synchronized real-time protocol
65.0,Miss Jennifer Frank,22,Full-Time,50.0,PhD,Physics,19.0,Compatible empowering knowledgebase
66.0,Steven Gibson,24,Full-Time,50.0,PhD,Economics,13.0,Seamless modular project
67.0,Sean Jones,14,Visiting,50.0,PhD,Chemistry,12.0,Multi-layered radical middleware
68.0,Melissa Curtis,30,Full-Time,33.0,Masters,Physics,23.0,Customizable 5thgeneration leverage
69.0,Andrea Ramos,15,Visiting,38.0,PhD,Mathematics,13.0,Synchronized real-time protocol
70.0,Susan Oconnor,20,Visiting,55.0,Masters,Finance,14.0,Seamless modular project
71.0,John Mullins,26,Full-Time,49.0,PhD,Business Administration,23.0,Multi-layered radical middleware
72.0,Brian Washington,21,Full-Time,37.0,Masters,Physics,8.0,Customizable 5thgeneration leverage
73.0,Nicholas Johnson,33,Visiting,44.0,PhD,Chemistry,19.0,Phased needs-based forecast
74.0,Karen Gordon,28,Full-Time,48.0,Masters,Biology,21.0,Phased needs-based forecast
75.0,Wyatt Harvey,12,Visiting,43.0,Masters,Social Sciences,5.0,Multi-layered radical middleware
76.0,Brandon Morrison,34,Full-Time,37.0,Masters,Mathematics,22.0,Persevering encompassing array
77.0,Todd Noble,18,Visiting,42.0,Masters,Chemistry,7.0,Multi-layered radical middleware
78.0,Jacqueline Williamson,22,Full-Time,45.0,Masters,Economics,11.0,Customizable 5thgeneration leverage
79.0,Aaron Garcia,17,Full-Time,54.0,PhD,Economics,5.0,Persevering encompassing array
80.0,Lisa Harper,9,Visiting,59.0,PhD,Physics,8.0,Synchronized real-time protocol
81.0,Derek Ball,16,Full-Time,51.0,PhD,Biology,1.0,Seamless modular project
82.0,Madeline Hernandez,16,Visiting,52.0,Masters,Computer Science,8.0,Persevering encompassing array
83.0,Michael Maxwell,23,Full-Time,36.0,PhD,Finance,22.0,Synchronized real-time protocol
84.0,Hannah Bates,33,Visiting,45.0,Masters,Social Sciences,18.0,Multi-layered radical middleware
85.0,Katrina Lawrence,7,Full-Time,60.0,PhD,Finance,1.0,Customizable 5thgeneration leverage
86.0,Alexis Lee,22,Visiting,44.0,PhD,Computer Science,9.0,Phased needs-based forecast
87.0,David Farmer,28,Visiting,57.0,PhD,Social Sciences,21.0,Versatile full-range knowledge user
88.0,Bonnie Barr,29,Full-Time,45.0,Masters,Computer Science,21.0,Synchronized real-time protocol
89.0,Kimberly Clark,28,Full-Time,40.0,PhD,Computer Science,18.0,Synchronized real-time protocol
90.0,Olivia Campbell,2,Visiting,34.0,Masters,Mathematics,2.0,Persevering encompassing array
91.0,Courtney Sanders,13,Visiting,55.0,PhD,Biology,4.0,Synchronized real-time protocol
92.0,Melissa Oneal,25,Full-Time,57.0,PhD,Chemistry,24.0,Seamless modular project
93.0,Matthew Harper,15,Full-Time,58.0,Masters,Chemistry,2.0,Seamless modular project
94.0,Sheila Short,9,Full-Time,30.0,Masters,Physics,5.0,Persevering encompassing array
95.0,Alicia Russell,19,Full-Time,35.0,Masters,Economics,7.0,Profound contextually-based service-desk
96.0,Elizabeth Lowe,37,Full-Time,31.0,Masters,Economics,24.0,Compatible empowering knowledgebase
97.0,Rita Young,19,Full-Time,47.0,PhD,Chemistry,17.0,Phased needs-based forecast
98.0,Tina Douglas,24,Visiting,60.0,PhD,Computer Science,14.0,Cloned 5thgeneration project
99.0,Joseph Russell,27,Full-Time,49.0,PhD,Mathematics,23.0,Customizable 5thgeneration leverage
101.0,Dr. Sarah Johnson,5,Full-Time,38.0,PhD,Engineering,7.0,Robotics
102.0,Dr. Adam Miles,5,Full-Time,38.0,PhD,Engineering,7.0,Robotics
